mock	chitin	flg22	Zip1 	IRP	PSK1	PIP1	AMP1
0.688	0.356	0.518	0.65	0.597	0.194	0.438	0.42
0.654	0.247	0.24	0.598	0.556	0.394	0.314	0.423
1.007	0.385	0.507	0.5	0.344	0.147	0.508	0.411
0.809	0.31	0.559	0.478	0.453	0.369	0.373	0.472
0.657	0.319	0.425	0.475	0.484	0.463	0.283	0.323
0.595	0.407	0.202	0.589	0.526	0.33	0.42	0.473
1.261	0.378	0.334	0.443	0.558	0.433	0.332	0.493
0.711	0.441	0.299	0.417	0.483	0.332	0.388	0.294
0.475	0.381	0.479	0.491	0.669	0.297	0.546	0.263
0.525	0.451	0.435	0.46	0.516	0.449	0.339	0.277
0.624	0.394	0.389	0.45	0.353	0.466	0.528	0.483
0.696	0.398	0.406	0.599	0.509	0.34	0.328	0.236
0.702	0.691	0.155	0.699	0.696	0.246	0.34	0.235
0.45	0.659	0.477	0.572	0.611	0.182	0.352	0.347
0.541	0.474	0.473	0.472	0.539	0.339	0.329	0.238
0.743	0.618	0.371	0.447	0.556	0.22	0.379	0.445
0.774	0.635	0.394	0.307	0.739	0.585	0.726	0.41
0.695	0.571	0.335	0.481	0.486	0.296	0.81	0.688
0.336	0.427	0.262	0.332	0.506	0.361	0.754	0.509
0.266	0.459	0.252	0.779	0.423	0.451	0.403	0.761
0.583	0.495	0.134	0.757	0.504	0.485	0.414	0.51
0.522	0.567	0.12	0.664	0.695	0.318	0.475	0.542
0.538	0.512	0.328	1.266	0.453	0.537	0.464	0.822
0.288	0.362	0.211	1.025	0.489	0.595	0.381	0.7
0.475	0.421	0.062	1.148	0.61	0.622	0.188	0.66
0.459	0.503	0.153	1.171	0.766	0.376	0.816	0.434
0.446	0.509	0.228	0.868	0.869	0.34	0.801	0.342
0.639	0.329	0.163	0.703	0.902	0.379	0.883	0.493
0.831	0.292	0.135	0.892	0.675	0.349	0.824	0.785
0.489	0.297	0.174	0.966	1.13	0.337	0.672	0.808
0.408	0.141	0.305	0.709	0.568	0.617	0.744	0.71
0.411	0.405	0.209	1.196	0.759	0.493	0.332	0.687
0.352	0.223	0.283	0.836	0.946	0.551	0.76	0.503
0.515	0.47	0.254	0.981	0.897	0.242	0.559	0.464
0.649	0.433	0.27	0.614	1.049	0.451	0.969	0.776
0.534	0.392	0.29	0.633	0.528	0.344	0.901	0.716
0.433	0.521	0.313	0.889	0.534	0.3	0.91	0.591
0.476	0.559	0.267	0.629	0.76	0.689	0.628	0.622
0.429	0.451	0.211	0.673	0.651	0.258	0.772	0.398
0.394	0.282	0.378	0.626	0.512	0.505	0.932	0.476
0.482	0.692	0.241	1.514	0.903	0.44	0.841	0.473
0.796	0.427	0.305	0.645	0.84	0.552	0.748	1.055
0.961	0.232	0.099	0.531	0.557	0.228	0.622	0.449
0.794	0.356	0.123	0.537	1.036	0.355	0.66	0.851
0.855	0.27	0.332	0.443	0.667	0.293	0.629	0.562
1.265	0.313	0.339	0.427	0.632	0.412	0.793	0.56
0.527	0.236	0.292	0.6	0.611	0.483	0.734	0.556
0.495	0.398	0.284	0.857	1.187	0.233	0.634	0.791
0.34	0.468	0.363	0.592	1.099	0.247	0.48	0.721
0.471	0.623	0.249	0.614	0.838	0.303	0.84	0.694
0.304	0.449	0.333	0.695	1.035	0.519	0.961	0.797
0.359	0.433	0.131	0.699	0.822	0.301	0.979	0.898
0.44	0.39	0.181	0.983	0.967	0.414	0.745	0.846
0.634	0.4	0.217	0.821	1.343	0.437	0.807	0.915
0.35	0.173	0.182	0.805	0.697	0.277	0.845	0.815
0.686	0.146	0.098	0.488	0.954	0.288		0.879
0.921	0.163	0.06	0.52	0.634	0.267		0.721
0.56	0.171	0.11	0.859	0.524	0.276		0.582
0.604	0.299	0.101	0.621	0.837	0.34		0.592
0.651	0.289	0.157	0.827	0.743	0.569		0.796
0.55	0.184	0.154	0.692	0.672	0.552		0.728
0.568	0.237	0.172	0.592	0.668	0.361		0.441
0.502	0.224	0.129	0.692	1.251	0.68		0.634
0.362	0.269	0.175	0.479	1.166	0.383		
0.474	0.176	0.07	0.577	1.101	0.465		
0.411	0.225	0.087	0.556	0.793	0.307		
	0.231	0.105	0.897	0.941	0.464		
	0.224	0.096	0.643		0.494		
	0.143	0.085	0.615		0.478		
	0.265	0.307	0.992		0.617		
	0.219	0.108	0.971		0.369		
	0.291		0.778		0.269		
	0.331		0.812				
	0.257		0.88				
	0.22		0.733				
	0.342		1.049				
	0.191		1.154				
	0.347						
