mock	chitin	flg22	Zip1	IRP	PSK1	PIP1	MAP1	SA
1	3.935359034	1.974613049	1.149362423	1.062473259	0.890621821	0.581007031	0.94202988	1.78438676
1	3.006101681	1.539656059	2.245793009	1.670967929	0.194641001	1.083297749	1.220414702	2.00818302
1	2.397081345	2.625416964	0.759702347	2.118581196	0.013766827	0.367495953	1.303170096	1.886481851
1	1.820403216	2.286165902	1.482274832	0.335354417	1.423704462	0.839920232	1.467993285	2.095777978
1	1.857692396	2.122550838	1.57895388	1.682692418	1.948825634	1.206554591	1.684492889	3.928374
	2.899912085	3.384046011	1.752938976	1.083288702	1.959341884	1.74281288	1.358204563	2.371920916
	1.889643054	2.283277879	1.609438127	1.300145663	1.718719793	0.576893253	1.154036499	3.037566294
	1.859192263	1.752904599	1.786486653	1.113432381	1.893602153	1.695624726	1.695639041	2.910185226
	2.427814013	3.447918534	1.581765537	1.128925502	1.701303008	1.8752607	1.847010282	3.060027393
	3.218765927	3.300742657	0.63589205	1.613830991	0.570897245	1.566841052	1.555002772	2.1516017
	4.368959142	2.222294908	2.235016532	0.686658462	1.55651136	1.945933291		2.735828581
	4.990413575	3.823568227	1.07599906	1.632147514	1.233892665	1.375221341		2.446628043
		3.232999644	1.718139908	2.043136069				2.663458635
		3.650106764						2.635618434
								1.707997145
