Treatment	IGL1	MPI1	ANK23	MYC7E	WYRKY65	ATFP4	POX12	CC9	GST42	PAL1	lox8	Time
mock	1	1	1	1	1	1	1	1		1		3hpi
mock	1	1	1	1	1	1	1	1		1		3hpi
mock	1	1	1	1	1	1	1	1		1		3hpi
flg22	0.77534314	0.885318857	0.970331562	0.437749834	1.141269052	1.679067692	3.112504955	0.116407731		0.951202629		3hpi
flg22	1.017920299	3.767427293	2.109944606	1.969001619	1.426662849	3.182707601	1.16132011	1.392796002		3.061432975		3hpi
flg22	0.718360131	1.634784375	1.720874041	1.195207641	1.319559494	0.784374791	1.179403546	0.362416559		2.909172465		3hpi
chitin	0.700379351	1.20270324	1.26941064	0.900069794	1.314395583	3.690146076	2.682950887	0.254828807		0.770326604		3hpi
chitin	0.85896768	0.831250675	1.684774111	0.913699392	0.741038793	1.530632808	0.674502628	0.486942705		2.40568988		3hpi
chitin	0.632736781	0.830985781	2.756071244	1.310265171	0.950300349	3.134548591	0.320721564	0.289745615		0.839145774		3hpi
IRP	0.824137823	0.233166997	1.243450398	0.548819565	1.307688182	1.257403224	0.922466104	0.051648225		0.368795239		3hpi
IRP	0.830966344	0.71586225	1.362919803	1.187801314	0.844180455	2.188374023	0.80311877	0.696935422		1.11099695		3hpi
IRP	0.579470271	1.370256918	1.406743097	1.612937348	0.382983991	0.632992166	0.476825257	0.551619993		1.14643924		3hpi
PSK1	0.64494639	0.178976763	0.962446562	0.25029698	1.21109081	1.536451336	0.636057092	0.0333877		0.795283249		3hpi
PSK1	0.703728189	0.848482375	0.84951314	1.050172733	0.986384024	1.125226927	0.574357575	0.412582906		1.871685714		3hpi
PSK1	0.873549466	3.481719202	1.556444053	2.54388882	0.862237173	1.633343489	0.736750979	1.745553089		2.549084005		3hpi
PIP1	0.60212401	0.870053934	0.914409281	1.02987011	0.913357148	0.700053747	0.841454293	0.358731713		0.500596366		3hpi
PIP1	1.073890128	5.399318367	1.992157737	2.766133283	1.453329234	2.667484757	1.420097866	2.358164057		4.034257296		3hpi
PIP1	0.956538602	2.499955991	1.181933869	1.588522063	0.635651001	2.011591932	0.981387791	2.53915687		1.065400555		3hpi
ZIP1	0.697149757	0.701173975	0.881181642	0.326155177	0.908255615	1.455016394	0.847843581	0.366834493		0.616963474		3hpi
ZIP1	1.017920299	0.565656732	1.182222418	1.048044763	0.553912983	0.898426959	0.363459095	0.275561139		0.696039959		3hpi
ZIP1	0.738699277	0.881601093	1.80076953	0.985054779	0.834915352	1.134382148	0.531947876	0.350773377		1.426948725		3hpi
mock	1	1	1	1	1		1	1	1	1	1	24hpi
mock	1	1	1	1	1		1	1	1	1	1	24hpi
mock	1	1	1	1	1		1		1	1	1	24hpi
flg22	1.140194642	0.530467977	1.493449456	1.809116503	1.372814467		1.313206889	0.361370803	2.379656518	1.897725922	1.022287106	24hpi
flg22	1.309424894	2.118738036	2.94697723	2.964480719	1.371903373		1.369087397	1.894583278	5.581724138	4.269569031	1.123573757	24hpi
flg22	0.831333919		0.504030118	0.273419642	1.056531889		1.571227497	19.77683004		2.876964574		24hpi
chitin	1.452651631	1.301117662	2.979646331	2.415121323	2.806069484		4.384659257	0.488103438	5.555267674	5.630767722	1.603287476	24hpi
chitin	1.27856739	4.7061348	3.98664899	2.31949168	3.330714994		9.486109946	2.028452558	14.02788873	17.12613973	1.033093976	24hpi
chitin	0.777697013	3.363583999	2.38292713	0.985384183	1.027630313		1.119659938	39.19128839	2.347874217	9.959228668	0.818245212	24hpi
IRP	1.165712123	0.716303988	1.867334617	1.747978665	2.326402806		2.423910043	0.35317207	2.900318457	3.965205276	0.899161373	24hpi
IRP	1.022954569	1.034288192	2.440127601	2.033155149	2.891938031		2.260038995	0.834331244	5.575662873	4.161942173	0.485795409	24hpi
IRP	0.951797654	4.572375736	3.372739413	1.645667707	1.26876436		2.702835119	27.24850321	2.161209182	5.62140783	0.764622239	24hpi
PSK1	1.012811799	0.770824738	1.351130474	0.965569627	1.185969058		1.666006273	0.858420579	1.609603136	3.086346003	1.377144667	24hpi
PSK1	0.977852386	0.607889791	2.198295972	1.881476487	1.170903327		1.719183163	0.628069693	3.013879768	6.442538353	1.067394657	24hpi
PSK1	1.204085675	3.614670714	2.255724776	1.559460222	1.479299706		3.140070352	11.19838759	3.703009089	6.286372108	0.605552362	24hpi
PIP1	1.113509874	0.503042463	2.959243428	1.063500748	1.890143505		3.057124105	0.410102523	4.314112567	3.150449801	1.409673989	24hpi
PIP1	1.31345049	1.238754519	5.088558503	2.44567799	2.361605333		2.230510356	1.025137155	10.99628677	12.08524926	0.834267816	24hpi
PIP1	0.973150202	4.918205591	1.368828825	1.265922629	1.330451237		1.456733167	18.30620194	3.150787237	3.768851709	0.507890608	24hpi
ZIP1	1.203511692		1.546768082	1.388665959	1.808394393		1.733639732	1.621824242		2.918086644		24hpi
ZIP1	0.931950409		1.317414213	1.541099732	1.105909789		1.728611447	0.484937186		3.369603091		24hpi
ZIP1	0.646648306		0.720025292	0.38900444	1.547309175		1.08376377	7.707324533		1.919268739		24hpi
DAMP1										6.954160353		24hpi
DAMP1	0.656766362		0.426222738	0.19099039	0.873391531		0.670828797			3.073531068		24hpi
DAMP1	0.65437923		0.350236133	0.414466689	1.448879197		0.773980175			0.752841907		24hpi
