replicate	treatment	PR3	PR4	PR5	PRm6b	PR10.1
1	mock	1	1	1	1	1
1	flg22	6.222485558	7.931093741	7.489960654	1.636239003	2.379354743
1	chitin	4.33755818	10.72228449	6.539453707	2.124427631	7.376685257
1	Zip1	2.458284148	1.856213101	1.527184713	0.831264901	1.905346081
1	IRP	2.885669131	5.172309175	3.962301978	1.109569472	3.362310233
1	PSK1	3.455074008	7.110422131	5.678896565	2.097913409	2.812527117
1	PIP1	4.072110686	7.571247459	4.319835579	3.537295209	7.554619767
1	DAMP1	1.13856972	3.59435123	1.60914339	1.15277006	1.439089869
2	mock	1	1	1	1	1
2	flg22					
2	chitin	3.217190111	5.852784513	5.664595581	9.255244615	3.580100284
2	Zip1	2.948010562	3.435901634	2.274116143	5.031768209	2.163344724
2	IRP	3.357876947	5.102037678	2.873551571	6.121370914	2.933610699
2	PSK1	4.985810178	5.049463758	3.5278753		5.063867662
2	PIP1	3.412882117	5.690661157	4.732450101	9.339068899	4.051176203
2	DAMP1	0.958038614	1.004208416	0.747598371	1.123361206	2.544087335
3	mock	1	1	1	1	1
3	flg22	3.425855666	4.115084279	2.619428626	1.562041336	1.712673424
3	chitin	2.245112386	4.538616691	3.549417483	3.875149865	3.831606369
3	Zip1	2.332308266	2.040691823	1.166480086	3.754385115	2.34273719
3	IRP	2.133426895	3.181455711	2.427316028	2.668433231	2.552728591
3	PSK1	2.549082147	2.99524095	2.473834045	2.686105996	2.555753577
3	PIP1	2.577655658	3.20917884	2.447199414	4.659423074	3.326443421
3	DAMP1	0.973804587	1.803146934	2.99930261	1.763311641	1.284813924
4	mock	1	1	1	1	1
4	flg22	9.574704636	31.60394054	25.37086534	15.79251039	3.304471717
4	chitin	3.413502785	9.73592412	7.91338437	6.292328221	2.425936948
4	Zip1	1.938712521	4.524091213	2.928548302	3.011931311	1.975450965
4	IRP					
4	PSK1				5.149837983	
4	PIP1					
4	DAMP1					
5	mock	1	1	1	1	1
5	flg22	13.04820265	37.78197286	64.04941453	11.47814493	3.501372544
5	chitin	6.853053646	21.41163709	26.97867413	7.519782657	4.085810962
5	Zip1	4.436073913	11.97221351	13.26008846	9.386901912	3.618313861
5	IRP					
5	PSK1					
5	PIP1					
5	DAMP1					
